n,annee
7313,1944
231491,1945
334992,1946
301078,1947
356892,1948
398118,1949
453534,1950
459470,1951
526313,1952
552248,1953
606934,1954
584272,1955
577126,1956
569495,1957
573065,1958
567079,1959
572779,1960
566070,1961
655397,1962
672713,1963
707999,1964
714914,1965
726562,1966
830845,1967
902090,1968
975118,1969
1011854,1970
985131,1971
910465,1972
1006845,1973
1000660,1974
986191,1975
1005471,1976
1038249,1977
1032421,1978
1092260,1979
1145010,1980
1076249,1981
1119989,1982
989639,1983
981259,1984
917958,1985
926207,1986
1006242,1987
1040844,1988
1081695,1989
1019464,1990
1048319,1991
1079956,1992
1140952,1993
1153662,1994
1111625,1995
1203758,1996
1555227,1997
1352373,1998
1326534,1999
1737094,2000
2950800,2001
2455954,2002
1466966,2003
1465232,2004
1910499,2005
1542886,2006
1244865,2007
1234316,2008
1248310,2009
1475628,2010
1717058,2011
1890402,2012
1684032,2013
1381405,2014
906176,2015
1279892,2016
1793231,2017
1761394,2018
1699470,2019
1695359,2020
1716728,2021
1232792,2022
