n,annee
5746,1944
171389,1945
247152,1946
225069,1947
268299,1948
301055,1949
344135,1950
343515,1951
398364,1952
412533,1953
451060,1954
438898,1955
442704,1956
440665,1957
434097,1958
425693,1959
441003,1960
443403,1961
503390,1962
512589,1963
535089,1964
538932,1965
552118,1966
628767,1967
682909,1968
737585,1969
768939,1970
745052,1971
685659,1972
765887,1973
753822,1974
738729,1975
763263,1976
797379,1977
798438,1978
846876,1979
890664,1980
830716,1981
865361,1982
769771,1983
758178,1984
707553,1985
714928,1986
778703,1987
803968,1988
832869,1989
790527,1990
814296,1991
835226,1992
880997,1993
892466,1994
866725,1995
921669,1996
1199508,1997
1029653,1998
1018514,1999
1319589,2000
2327791,2001
1952153,2002
1176142,2003
1183495,2004
1533298,2005
1256220,2006
989164,2007
986770,2008
1014493,2009
1211494,2010
1420531,2011
1536731,2012
1374083,2013
1122197,2014
737093,2015
1028467,2016
1418388,2017
1392310,2018
1362958,2019
1358824,2020
1371446,2021
991695,2022
